City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Torbay,CA,2021-10-14 23:35:42,47.6666,-52.7314,47.75,96,90,18.41
202,Bilibino,RU,2021-10-14 23:40:35,68.0546,166.4372,-1.68,98,98,0.74
203,Ketchikan,US,2021-10-14 23:40:35,55.3422,-131.6461,46.87,93,90,18.41
204,Kokopo,PG,2021-10-14 23:40:36,-4.352,152.2633,85.08,67,23,4.0
205,Port Lincoln,AU,2021-10-14 23:40:36,-34.7333,135.8667,58.57,70,31,19.48
206,Batemans Bay,AU,2021-10-14 23:40:36,-35.7167,150.1833,59.2,54,94,1.77
207,Port Moresby,PG,2021-10-14 23:40:37,-9.4431,147.1797,78.22,89,40,11.5
208,Touros,BR,2021-10-14 23:40:37,-5.1989,-35.4608,77.9,81,18,14.85
209,Sao Filipe,CV,2021-10-14 23:40:38,14.8961,-24.4956,78.64,75,98,8.08
210,Portland,US,2021-10-14 23:40:30,45.5234,-122.6762,60.46,88,90,3.0
211,Bathsheba,BB,2021-10-14 23:40:40,13.2167,-59.5167,83.01,83,40,18.41
212,Coquimbo,CL,2021-10-14 23:40:40,-29.9533,-71.3436,58.73,67,0,14.97
213,Hearst,CA,2021-10-14 23:40:40,49.6835,-83.6665,59.25,85,67,7.94
214,Jega,NG,2021-10-14 23:40:41,12.2175,4.3792,82.92,35,34,3.51
215,Cockburn Town,TC,2021-10-14 23:40:41,21.4612,-71.1419,82.74,75,10,13.87
216,Swan River,CA,2021-10-14 23:40:42,52.1058,-101.2676,42.69,75,100,11.5
217,Buin,CL,2021-10-14 23:40:42,-33.7333,-70.75,61.12,54,17,7.52
218,Nelson Bay,AU,2021-10-14 23:40:43,-32.7167,152.15,70.0,62,34,4.0
219,Kirovsk,UA,2021-10-14 23:40:44,48.6375,38.6428,43.34,75,100,3.04
220,Sola,VU,2021-10-14 23:40:44,-13.8833,167.55,84.87,66,75,0.0
221,Antofagasta,CL,2021-10-14 23:40:44,-23.65,-70.4,58.28,85,17,7.09
222,Vila Franca Do Campo,PT,2021-10-14 23:40:45,37.7167,-25.4333,73.81,95,100,15.26
223,Gizo,SB,2021-10-14 23:40:45,-8.103,156.8419,85.51,66,57,4.68
224,Okhotsk,RU,2021-10-14 23:40:46,59.3833,143.3,21.67,68,4,17.22
225,Upernavik,GL,2021-10-14 23:40:46,72.7868,-56.1549,31.93,72,100,7.38
226,Malmyzh,RU,2021-10-14 23:40:47,56.5205,50.6818,50.23,32,100,17.45
227,Simbahan,PH,2021-10-14 23:40:47,6.3032,120.5836,83.68,71,100,2.98
