City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Isangel,VU,-19.55,169.2667,75.31,94,100,3.44,moderate rain
192,Hovd,MN,48.0056,91.6419,31.59,53,5,0.85,clear sky
193,Sylvan Lake,CA,52.3168,-114.0853,65.77,27,75,16.11,broken clouds
194,Semme,FR,46.1963,1.5007,55.81,81,0,5.01,clear sky
195,Chokurdakh,RU,70.6333,147.9167,-6.18,100,96,4.5,overcast clouds
196,Quanzhou,CN,24.9139,118.5858,73.35,65,62,17.72,broken clouds
197,Riberalta,BO,-10.9833,-66.1,71.8,100,90,11.5,moderate rain
198,Nanning,CN,22.8167,108.3167,63.05,83,81,7.2,broken clouds
199,Hasaki,JP,35.7333,140.8333,70.2,86,14,18.41,few clouds
200,Aosta,IT,45.7667,7.4167,39.63,76,0,1.99,clear sky
201,Ukiah,US,39.1502,-123.2078,82.74,23,1,0.0,clear sky
202,Zhigansk,RU,66.7697,123.3711,7.2,98,95,3.69,overcast clouds
203,Bongouanou,CI,6.6486,-4.1992,74.86,89,51,0.65,moderate rain
204,Taoudenni,ML,22.6783,-3.9836,94.69,12,94,7.38,overcast clouds
205,Sobolevo,RU,54.4299,31.8996,39.24,83,5,8.3,clear sky
206,Saint-Philippe,RE,-21.3585,55.7679,72.95,77,40,18.25,scattered clouds
207,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,90,0.0,overcast clouds
208,Naples,IT,40.8333,14.25,63.21,59,20,2.3,few clouds
209,Cayenne,GF,4.9333,-52.3333,87.84,77,94,5.01,overcast clouds
210,Campoverde,PE,-8.4753,-74.8058,92.89,39,100,4.03,overcast clouds
211,Kiruna,SE,67.8557,20.2251,31.12,93,90,13.8,light snow
212,Shingu,JP,33.7333,135.9833,68.41,79,100,7.11,overcast clouds
213,Zelenoborskiy,RU,66.845,32.3622,37.06,84,100,7.4,overcast clouds
214,Zernograd,RU,46.8452,40.3083,58.95,50,97,6.51,overcast clouds
215,Clyde River,CA,70.4692,-68.5914,30.43,93,75,12.66,broken clouds
216,Trairi,BR,-3.2778,-39.2689,84.52,62,84,15.57,broken clouds
217,Sao Filipe,CV,14.8961,-24.4956,79.34,79,100,13.6,overcast clouds
218,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,40,0.0,scattered clouds
219,Filadelfia,US,39.9523,-75.1638,83.17,62,40,8.01,scattered clouds
220,Bambous Virieux,MU,-20.3428,57.7575,74.21,68,40,18.41,scattered clouds
221,Tarata,BO,-17.6167,-66.0167,81.82,31,100,8.9,overcast clouds
222,Deputatskiy,RU,69.3,139.9,-7.62,100,100,1.81,overcast clouds
223,Madison,US,34.7334,-86.5667,66.0,40,1,1.01,clear sky
224,Norman Wells,CA,65.282,-126.8329,28.44,86,75,12.66,light snow
225,Santa Maria,BR,-29.6842,-53.8069,67.3,73,75,4.61,broken clouds
226,Henties Bay,NA,-22.116,14.2845,56.86,83,0,14.32,clear sky
227,Tucuman,AR,-26.8241,-65.2226,73.4,28,0,14.97,clear sky
228,San Policarpo,PH,12.1791,125.5072,78.75,88,20,5.44,few clouds
229,Mahebourg,MU,-20.4081,57.7,74.25,68,40,18.41,scattered clouds
230,Ouadda,CF,8.0777,22.4007,69.58,93,100,3.31,light rain
231,Pandan,PH,14.0453,124.1694,78.44,88,22,4.94,few clouds
232,Mount Gambier,AU,-37.8333,140.7667,46.31,100,90,5.75,overcast clouds
233,Gravelbourg,CA,49.8834,-106.5512,59.27,33,1,9.31,clear sky
234,Ostrovnoy,RU,68.0531,39.5131,38.17,86,100,13.87,overcast clouds
235,Morehead,US,37.2711,-87.1764,66.15,35,1,8.99,clear sky
236,Te Anau,NZ,-45.4167,167.7167,46.6,95,100,2.75,light rain
237,Agas,RO,46.4833,26.2167,48.88,91,100,2.84,overcast clouds
