City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
484,Lorengau,PG,82.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
485,Kirakira,SB,78.53,overcast clouds,-10.4544,161.9205,SanBiz Lodge
486,Bahia Blanca,AR,75.99,clear sky,-38.7196,-62.2724,Hotel Argos
489,Pushkar,IN,75.49,few clouds,26.5,74.55,Orchard - Tents and Tranquility
490,Santiago Del Estero,AR,76.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
497,Matamoros,MX,75.31,broken clouds,25.5333,-103.25,Quinta Belem
498,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
501,Farafangana,MG,72.77,light rain,-22.8167,47.8333,Miarina
505,Apartado,CO,78.06,overcast clouds,7.882999999999999,-76.6259,Towers100 Aparta Estudios
507,Karratha,AU,72.3,few clouds,-20.7377,116.8463,ibis Styles Karratha
508,Kismayo,SO,78.19,clear sky,-0.3582,42.5454,Agan-Hotel
509,Kingman,US,73.89,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
510,Mogadishu,SO,78.57,clear sky,2.0371,45.3438,Hotel Juba
511,Ambovombe,MG,77.52,clear sky,-25.1667,46.0833,RELAHARA
514,Santiago De Cuba,CU,86.11,few clouds,20.0247,-75.8219,Cubanacan San Felix
516,Gandai,IN,74.37,overcast clouds,21.6667,81.1,Agrasen Bhawan Gandai
518,Funadhoo,MV,81.95,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
519,Cairns,AU,73.35,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
521,Garissa,KE,81.32,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
522,Bubaque,GW,83.08,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
525,Dromolaxia,CY,73.27,few clouds,34.8761,33.586,Sea N Lake View Hotel Apartments
